Year	Population	Urban.Population	Rural.Population
1979	52741766	10113234	42628532
1989	64375762	12804982	51570780
1992	68450100	13587600	54862500
1997	74306900	16835400	57471500
1999	76596700	18081600	58515100
2002	79537700	19873200	59664500
2004	81436400	21601200	59835200
2006	83311200	23045800	60265400
2008	85118700	24673100	60445600
2009	86025000	25584700	60330300
2010	87067300	26460500	60606800
2012	89202900	28274900	60928000
2014	91203800	30272700	60931100
2016	93250700	31397900	61853700
2018	95385200	32636900	62748300
2019	96484000	33816600	62667400
